AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-00011,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO50,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON HYBRID JACKET,,,,,,417 - MALTESE BLUE,PCE,,,,,20.0,,2.0,,158.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21 destination updated 25.3.22,2492MCLSCO50417 - MALTESE BLUE300,,,,,39.65,52.86,0.1,,0.33,0.1,,,,53.39,,0,0,,0.075,2.97,56.36,,,,,,,,,,112.72,,,,,,,,,,4DB4EE66-F9D9-4DD0-9CD4-F31EDB2363AC
GRE-00012,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO50,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON HYBRID JACKET,,,,,,030 - STINGRAY,PCE,,,,,13.0,,,,173.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCO50030 - STINGRAY314,,,,,39.65,52.86,0.1,,0.33,0.1,,,,53.39,,0,0,,0.075,2.97,56.36,,,,,,,,,,112.72,,,,,,,,,,636C7DF0-F8DD-40F7-A0F3-1907DA25AA18
GRE-00013,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01001 - SHEPHERD244,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,EF40F79E-E280-4A7C-82F9-48DDBB603D4E
GRE-00014,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,124.0,,116.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,14.0,,,,,,,,,116.0,,,,,73.0,,,,,,,,157.0,,,,,26.0,,,,,,,,111.0,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01001 - SHEPHERD1054,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,63BEE47B-4C68-4618-9648-5E9AEFC44074
GRE-00015,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,030 - STINGRAY,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01030 - STINGRAY171,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,240FA986-0617-4393-AD7C-FA10951E68C2
GRE-00016,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,030 - STINGRAY,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,136.0,,41.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,6.0,,,,,,,,,54.0,,,,,46.0,,,,,,,,79.0,,,,,11.0,,,,,,,,36.0,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01030 - STINGRAY579,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,E88B0B20-8C9E-4EF0-B01F-B561524F9321
GRE-00017,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,055 - SLATE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01055 - SLATE100,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,30B1015E-06BA-4E92-9D98-49EB61F3E59F
GRE-00018,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,055 - SLATE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,121.0,,5.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,10.0,,,,,,,,,75.0,,,,,50.0,,,,,,,,116.0,,,,,15.0,,,,,,,,81.0,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01055 - SLATE671,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,9ECE871C-818A-4C7F-BF14-492A55434CBD
GRE-00019,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,060 - EEL,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01060 - EEL200,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,5A0B963D-DC3C-41CB-93F5-8B6CC77DAFB1
GRE-00020,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,060 - EEL,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,57.0,,283.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,11.0,,,,,,,,,45.0,,,,,52.0,,,,,,,,83.0,,,,,16.0,,,,,,,,41.0,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01060 - EEL751,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,8FAD9F44-ADC4-49F6-9863-87B8D4961815
GRE-00021,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,100 - ARCTIC,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,17.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,38.0,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,ACTIVE,"WHIPLASH, OH",,,,,,,,2022-05-01,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 qty updated 23.2.22",2574MCLSCB01100 - ARCTIC195,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,303EB78F-1ECE-4108-B023-E611F8611F8E
